id,code,name
"bt2","AM","AM - Ampoule,non-protected"
"bt3","AP","AP - Ampoule, protected"
"bt6","FX","FX - Bag, flexible container"
"bt7","ZB","ZB - Bag, large"
"bt8","MB","MB - Bag, multiply"
"bt9","5M","5M - Bag, paper"
"bt10","XJ","XJ - Bag, paper, multi-wall"
"bt11","XK","XK - Bag, paper, multi-wall, water resistant"
"bt12","EC","EC - Bag, plastic"
"bt13","XD","XD - Bag, plastics film"
"bt15","5L","5L - Bag, textile"
"bt16","XG","XG - Bag, textile, sift proof"
"bt17","XH","XH - Bag, textile, water resistant"
"bt18","XF","XF - Bag, textile, without inner coat/liner"
"bt19","5H","5H - Bag, woven plastic"
"bt20","XB","XB - Bag, woven plastic, sift proof"
"bt21","XC","XC - Bag, woven plastic, water resistant"
"bt22","XA","XA - Bag, woven plastic, without inner coat/liner"
"bt23","BL","BL - Bale, compressed"
"bt24","BN","BN - Bale, non-compressed"
"bt25","BF","BF - Balloon, non-protected"
"bt26","BP","BP - Balloon, protected"
"bt29","2C","2C - Barrel, wooden"
"bt30","QH","QH - Barrel, wooden, bung type"
"bt31","QJ","QJ - Barrel, wooden, removable head"
"bt32","BZ","BZ - Bars, in bundle/bunch/truss"
"bt35","HC","HC - Basket, with handle, cardboard"
"bt36","HA","HA - Basket, with handle, plastic"
"bt37","HB","HB - Basket, with handle, wooden"
"bt40","BY","BY - Board, in bundle/bunch/truss"
"bt43","GB","GB - Bottle, gas"
"bt44","BS","BS - Bottle, non-protected, bulbous"
"bt45","BO","BO - Bottle, non-protected, cylindrical"
"bt46","BV","BV - Bottle, protected bulbous"
"bt47","BQ","BQ - Bottle, protected cylindrical"
"bt50","4B","4B - Box, aluminium"
"bt51","DH","DH - Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox"
"bt52","4G","4G - Box, fibreboard"
"bt53","BW","BW - Box, for liquids"
"bt54","4C","4C - Box, natural wood"
"bt55","4H","4H - Box, plastic"
"bt56","QR","QR - Box, plastic, expanded"
"bt57","QS","QS - Box, plastic, solid"
"bt58","4D","4D - Box, plywood"
"bt59","4F","4F - Box, reconstituted wood"
"bt60","4A","4A - Box, steel"
"bt61","QP","QP - Box, wooden, natural wood, ordinary"
"bt62","QQ","QQ - Box, wooden, natural wood, with sift proof walls"
"bt64","VG","VG - Bulk, gas (at 1031 mbar and 15)C)"
"bt65","VQ","VQ - Bulk, liquefied gas (at abnormal temperature/pressure)"
"bt66","VL","VL - Bulk, liquid"
"bt67","VS","VS - Bulk, scrap metal"
"bt68","VY","VY - Bulk, solid, fine particles (?powders?)"
"bt69","VR","VR - Bulk, solid, granular particles (?grains?)"
"bt70","VO","VO - Bulk, solid, large particles (?nodules?)"
"bt75","DG","DG - Cage, Commonwealth Handling Equipment Pool (CHEP)"
"bt76","CW","CW - Cage, roll"
"bt77","CX","CX - Can, cylindrical"
"bt78","CA","CA - Can, rectangular"
"bt79","CD","CD - Can, with handle and spout"
"bt83","CO","CO - Carboy, non-protected"
"bt84","CP","CP - Carboy, protected"
"bt89","EI","EI - Case, isothermic"
"bt90","SK","SK - Case, skeleton"
"bt91","SS","SS - Case, steel"
"bt92","ED","ED - Case, with pallet base"
"bt93","EF","EF - Case, with pallet base, cardboard"
"bt94","EH","EH - Case, with pallet base, metal"
"bt95","EG","EG - Case, with pallet base, plastic"
"bt96","EE","EE - Case, with pallet base, wooden"
"bt104","6P","6P - Composite packaging, glass receptacle"
"bt105","YR","YR - Composite packaging, glass receptacle in aluminium crate"
"bt106","YQ","YQ - Composite packaging, glass receptacle in aluminium drum"
"bt107","YY","YY - Composite packaging, glass receptacle in expandable plastic pack"
"bt108","YW","YW - Composite packaging, glass receptacle in fibre drum"
"bt109","YX","YX - Composite packaging, glass receptacle in fibreboard box"
"bt110","YT","YT - Composite packaging, glass receptacle in plywood drum"
"bt111","YZ","YZ - Composite packaging, glass receptacle in solid plastic pack"
"bt112","YP","YP - Composite packaging, glass receptacle in steel crate box"
"bt113","YN","YN - Composite packaging, glass receptacle in steel drum"
"bt114","YV","YV - Composite packaging, glass receptacle in wickerwork hamper"
"bt115","YS","YS - Composite packaging, glass receptacle in wooden box"
"bt116","6H","6H - Composite packaging, plastic receptacle"
"bt117","YD","YD - Composite packaging, plastic receptacle in aluminium crate"
"bt118","YC","YC - Composite packaging, plastic receptacle in aluminium drum"
"bt119","YJ","YJ - Composite packaging, plastic receptacle in fibre drum"
"bt120","YK","YK - Composite packaging, plastic receptacle in fibreboard box"
"bt121","YL","YL - Composite packaging, plastic receptacle in plastic drum"
"bt122","YH","YH - Composite packaging, plastic receptacle in plywood box"
"bt123","YG","YG - Composite packaging, plastic receptacle in plywood drum"
"bt124","YM","YM - Composite packaging, plastic receptacle in solid plastic box"
"bt125","YB","YB - Composite packaging, plastic receptacle in steel crate box"
"bt126","YA","YA - Composite packaging, plastic receptacle in steel drum"
"bt127","YF","YF - Composite packaging, plastic receptacle in wooden box"
"bt129","CN","CN - Container, not otherwise specified as transport equipment"
"bt132","CB","CB - Crate, beer"
"bt133","DK","DK - Crate, bulk, cardboard"
"bt134","DL","DL - Crate, bulk, plastic"
"bt135","DM","DM - Crate, bulk, wooden"
"bt136","FD","FD - Crate, framed"
"bt137","FC","FC - Crate, fruit"
"bt138","MC","MC - Crate, milk"
"bt139","DC","DC - Crate, multiple layer, cardboard"
"bt140","DA","DA - Crate, multiple layer, plastic"
"bt141","DB","DB - Crate, multiple layer, wooden"
"bt142","SC","SC - Crate, shallow"
"bt146","DJ","DJ - Demijohn, non-protected"
"bt147","DP","DP - Demijohn, protected"
"bt150","1B","1B - Drum, aluminium"
"bt151","QC","QC - Drum, aluminium, non-removable head"
"bt152","QD","QD - Drum, aluminium, removable head"
"bt153","1G","1G - Drum, fibre"
"bt154","DI","DI - Drum, iron"
"bt155","IH","IH - Drum, plastic"
"bt156","QF","QF - Drum, plastic, non-removable head"
"bt157","QG","QG - Drum, plastic, removable head"
